LocationName,Duration,DurationDays,AEP,VarianceLog,zScore,Value,UpperConf,LowerConf,Expected
Castle Rock,Peak,0,0.0001,0.00979675,3.719016485455709,296087.7,476290.0,217103.6,374643.0
Castle Rock,Peak,0,0.0002,0.00823721,3.540083799206175,276072.2,426542.7,207623.8,332739.2
Castle Rock,Peak,0,0.0005,0.0063993,3.2905267314919255,250133.5,366728.3,194486.9,285567.9
Castle Rock,Peak,0,0.001,0.00517849,3.090232306167813,230884.4,325578.4,184043.8,255074.1
Castle Rock,Peak,0,0.002,0.00410363,2.878161739095483,211932.4,287634.9,173114.3,227899.7
Castle Rock,Peak,0,0.005,0.00290586,2.5758293035489004,187282.4,241929.3,157817.9,195977.2
Castle Rock,Peak,0,0.01,0.00216711,2.3263478740408408,168883.6,210386.0,145503.8,174075.0
Castle Rock,Peak,0,0.02,0.00157019,2.0537489106318225,150624.7,181177.1,132434.4,153556.2
Castle Rock,Peak,0,0.05,0.00099246,1.6448536269514722,126513.9,145731.8,113769.8,127757.9
Castle Rock,Peak,0,0.1,0.00070715,1.2815515655446004,108041.3,121015.0,98383.2,108617.5
Castle Rock,Peak,0,0.2,0.00054064,0.8416212335729143,88922.6,97623.7,81626.3,89125.5
Castle Rock,Peak,0,0.5,0.00048036,0.0,60585.3,65856.5,55691.0,60529.0
Castle Rock,Peak,0,0.8,0.00062713,-0.8416212335729143,40671.1,44531.0,36709.2,40487.4
Castle Rock,Peak,0,0.9,0.00089061,-1.2815515655446004,32826.2,36400.8,28836.2,32572.7
Castle Rock,Peak,0,0.95,0.00131175,-1.6448536269514722,27416.6,30925.0,23227.0,27040.9
Castle Rock,Peak,0,0.99,0.00297596,-2.3263478740408408,19408.0,23025.9,14841.5,18564.1
Castle Rock,1-Day,1,0.0001,0.01094308,3.719016485455709,299446.8,479405.0,221040.2,386105.2
Castle Rock,1-Day,1,0.0002,0.00924449,3.540083799206175,276821.9,426187.0,209248.9,338896.0
Castle Rock,1-Day,1,0.0005,0.00724204,3.2905267314919255,247987.8,362831.6,193367.2,286799.8
Castle Rock,1-Day,1,0.001,0.00590918,3.090232306167813,226952.2,319700.3,181106.2,253244.6
Castle Rock,1-Day,1,0.002,0.00473116,2.878161739095483,206549.5,280305.5,168604.8,223779.9
