water_year,base_time
1929,1929-03-20 12:00:00
1930,1930-01-31 14:00:00
1931,1931-03-30 12:00:00
1932,1932-02-25 11:00:00
1933,1932-11-01 10:00:00
1934,1933-12-05 15:00:00
1935,1934-10-21 22:00:00
1936,1935-12-26 19:00:00
1937,1937-03-31 06:00:00
1938,1937-12-25 16:00:00
1939,1939-02-11 11:00:00
1940,1939-12-07 20:00:00
1941,1940-11-28 10:00:00
1942,1941-12-15 16:00:00
1943,1942-11-14 11:00:00
1944,1943-12-02 11:00:00
1945,1945-02-04 20:00:00
1946,1945-12-27 10:00:00
1947,1946-12-04 14:00:00
1948,1948-02-14 20:00:00
1949,1949-02-09 14:00:00
1950,1950-02-07 14:00:00
1951,1951-02-07 12:00:00
1952,1952-01-24 04:00:00
1953,1953-01-28 18:00:00
1954,1953-11-21 17:00:00
1955,1955-02-06 15:00:00
1956,1955-12-10 17:00:00
1957,1956-12-09 10:00:00
1958,1957-12-17 20:00:00
1959,1959-01-08 10:00:00
1960,1959-11-18 00:00:00
1961,1960-11-10 21:00:00
1962,1961-12-16 15:00:00
1963,1962-11-19 11:00:00
1964,1964-01-15 21:00:00
1965,1965-01-15 20:00:00
1966,1965-12-26 15:00:00
1967,1966-11-25 22:00:00
1968,1968-02-18 10:00:00
1969,1968-12-31 10:00:00
1970,1970-01-13 10:00:00
1971,1971-01-14 16:00:00
1972,1972-01-16 08:00:00
1973,1972-12-16 02:00:00
1974,1974-01-13 20:00:00
1975,1975-01-12 13:00:00
1976,1975-11-30 12:00:00
1977,1977-02-22 17:00:00
1978,1977-11-25 05:00:00
1979,1979-02-04 08:00:00
1980,1979-12-01 14:00:00
1981,1980-12-20 18:00:00
1982,1982-01-13 14:00:00
1983,1982-11-16 23:00:00
1984,1984-01-23 05:00:00
1985,1984-11-23 19:00:00
1986,1986-02-22 12:00:00
1987,1986-11-18 16:00:00
1988,1987-12-02 06:00:00
1989,1988-11-20 10:00:00
1990,1990-01-05 19:00:00
1991,1990-11-21 22:00:00
1992,1992-01-23 14:00:00
1993,1993-03-14 17:00:00
1994,1994-02-15 08:00:00
1995,1994-12-16 12:00:00
1996,1996-02-06 02:00:00
1997,1996-12-24 19:00:00
1998,1997-10-29 10:00:00
1999,1998-11-20 02:00:00
2000,1999-11-24 10:00:00
2001,2001-04-24 17:00:00
2002,2001-12-13 04:00:00
2003,2003-01-23 02:00:00
2004,2004-01-23 23:00:00
2005,2005-01-17 13:00:00
2006,2006-01-06 15:00:00
2007,2006-11-04 05:00:00
2008,2007-12-02 14:00:00
2009,2008-12-28 02:00:00
2010,2009-11-06 07:00:00
2011,2011-01-12 21:00:00
2012,2012-02-18 09:00:00
2013,2012-11-17 16:00:00
2014,2014-03-02 18:00:00
2015,2015-01-04 07:00:00
2016,2015-12-06 09:00:00
2017,2017-03-08 02:00:00
2018,2017-11-13 08:00:00
2019,2018-12-09 17:00:00
2020,2020-01-22 10:00:00
2021,2020-12-30 17:00:00
2022,2022-01-03 04:00:00
2023,2022-12-23 23:00:00
2024,2023-12-02 06:00:00
2025,2025-02-19 11:00:00
2026,2025-12-05 13:00:00
